location,total_sqft,bath,price,size1
1,1056,2,39.07,2
1,2600,5,120,4
1,1440,2,62,3
1,1521,3,95,3
1,1200,2,51,2
1,1170,2,38,2
0,2732,4,204,4
0,3300,4,600,4
0,1310,3,63.25,3
0,1020,6,370,6
0,1800,2,70,3
0,2785,5,295,4
0,1000,2,38,2
0,1100,2,40,2
0,2250,3,148,3
0,1175,2,73.5,2
0,1180,3,48,3
0,1540,3,60,3
2,2770,4,290,3
2,1100,2,48,2
2,600,1,15,1
2,1755,3,122,3
2,2800,5,380,4
3,1767,3,103,3
3,510,1,25.25,1
4,1250,3,56,3
1,660,1,23.1,2
1,1610,3,81,3
1,1151,2,48.77,2
1,1025,2,47,3
0,2500,4,186,4
0,1075,2,35,3
0,1760,2,123,3
0,1693,3,57.39,3
0,1925,3,125,3
2,700,2,36,2
2,1070,2,45.5,2
2,1724,3,125,3
2,1290,2,56.12,3
0,1143,2,45,2
4,1296,2,81,2
0,1254,3,38,3
0,600,1,38,1
1,660,1,48,1
1,1456,2,91.79,2
1,600,9,200,8
0,970,2,33,2
0,1459,2,94.82,2
0,800,1,130,2
0,869,2,36,2
0,1270,2,50,2
2,1670,3,99,3
0,2010,3,91,3
2,1185,2,75,2
2,1600,2,75,3
2,1200,2,44,2
2,3014,,192,4
2,1500,2,185,2
2,1407,4,150,6
2,840,2,45,2
0,4395,3,240,3
0,845,2,55,2
0,5700,5,650,4
0,1160,2,44,2
0,3000,8,140,8
1,1100,2,62,2
0,1140,2,43,2
1,1220,2,57,2
1,1350,7,85,8
1,1005,2,36.68,2
1,500,3,100,3
1,1358,2,80.58,2
1,1569,3,101,3
0,1240,2,70,2
0,2089,3,140,3
0,1206,2,48.23,2
1,1150,2,40,2
2,2511,3,205,3
2,460,1,22,2
2,4400,6,250,6
2,1660,2,105,3
0,2957,,224.5,4
0,1326,2,78,2
0,1325,2,60.8,3
0,1499,5,102,3
4,3000,7,210,6
4,1665,3,88,3
4,708,2,37,2
4,1060,2,58.06,2
4,710,6,160,6
4,1000,2,70,2
4,1000,2,28.88,2
4,1450,2,70,3
4,1200,4,155,4
4,1296,2,80,2
4,1540,3,90,3
4,2894,4,245,4
4,1330,2,48,3
4,1200,2,65,2
4,1200,3,90,3
1,2502,3,138,3
1,650,1,17,2
1,2400,2,150,3
0,1007,2,43,2
0,1200,2,50,2
0,966,2,49.9,2
0,1630,2,98,3
0,1640,3,229,3
